iter	Passed	Remaining
0	0	86
1	1	73
2	2	66
3	2	59
4	3	58
5	3	56
6	4	55
7	4	54
8	5	53
9	6	59
10	7	60
11	8	61
12	9	62
13	10	63
14	11	63
15	11	62
16	12	61
17	13	60
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	51
27	19	50
28	20	49
29	20	48
30	21	47
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	25	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	36
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	31
53	35	30
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
