iter	Passed	Remaining
0	0	787
1	1	677
2	1	657
3	2	635
4	3	628
5	3	617
6	4	606
7	4	599
8	5	597
9	5	591
10	6	584
11	7	584
12	7	579
13	8	576
14	8	574
15	9	572
16	9	572
17	10	570
18	10	567
19	12	588
20	12	595
21	13	620
22	15	640
23	15	643
24	16	639
25	16	635
26	17	630
27	18	625
28	18	622
29	19	618
30	19	615
31	20	612
32	20	610
33	21	607
34	21	604
35	22	601
36	23	599
37	23	597
38	24	595
39	24	594
40	25	592
41	25	591
42	26	590
43	27	592
44	28	600
45	29	614
46	30	617
47	31	615
48	31	613
49	32	611
50	32	609
51	33	606
52	33	604
53	34	602
54	34	600
55	35	598
56	36	595
57	36	593
58	37	591
59	37	589
60	38	587
61	38	586
62	39	584
63	39	584
64	40	583
65	41	581
66	41	580
67	42	580
68	42	579
69	43	578
70	44	578
71	44	577
72	45	576
73	46	576
74	46	577
75	48	584
76	48	586
77	49	584
78	49	582
79	50	581
80	51	579
81	51	578
82	51	573
83	52	572
84	53	571
85	53	569
86	54	569
87	54	568
88	55	567
89	55	566
90	56	566
91	57	566
92	57	565
93	58	565
94	59	568
95	60	573
96	61	574
97	62	573
98	62	571
99	63	570
100	63	568
101	64	567
102	65	566
103	65	565
104	66	564
105	66	563
106	67	561
107	67	560
108	69	565
109	70	567
110	70	568
111	71	567
112	72	566
113	72	565
114	73	564
115	74	564
116	74	562
117	75	566
118	76	569
119	77	569
120	78	568
121	78	566
122	79	565
123	79	564
124	80	563
125	81	562
126	81	559
127	81	558
128	83	562
129	84	562
130	88	585
131	89	587
132	90	591
133	91	591
134	92	589
135	92	588
136	93	587
137	93	586
138	94	584
139	94	583
140	95	582
141	95	579
142	96	578
143	97	578
144	98	578
145	98	578
146	99	577
147	100	576
148	100	575
149	101	574
150	102	575
151	103	574
152	103	574
153	104	573
154	105	572
155	105	573
156	107	576
157	108	576
158	108	575
159	109	574
160	109	572
161	110	571
162	111	570
163	111	569
164	112	568
165	112	567
166	113	566
167	114	565
168	114	564
169	115	564
170	116	563
171	119	572
172	120	574
173	121	575
174	121	574
175	122	573
176	123	572
177	123	571
178	124	570
179	125	569
180	125	569
181	126	567
182	126	566
183	127	565
184	128	564
185	128	563
